iter	Passed	Remaining
0	144	144537
1	145	72825
2	147	48892
3	148	36930
4	149	29775
5	150	25002
6	152	21578
7	153	19015
8	154	17019
9	156	15471
10	157	14159
11	158	13061
12	159	12135
13	161	11341
14	162	10648
15	163	10050
16	164	9519
17	165	9052
18	167	8635
19	168	8255
20	170	7936
21	171	7621
22	172	7333
23	173	7066
24	174	6821
25	176	6595
26	177	6396
27	178	6213
28	180	6033
29	181	5867
30	182	5711
31	184	5580
32	185	5439
33	186	5307
34	187	5179
35	189	5061
36	190	4946
37	191	4839
38	192	4737
39	193	4644
40	194	4557
41	196	4472
42	197	4392
43	198	4320
44	200	4250
45	201	4182
46	202	4112
47	204	4047
48	205	3985
49	206	3923
50	207	3865
51	208	3810
52	210	3756
53	211	3708
54	212	3658
55	213	3607
56	215	3559
57	216	3513
58	217	3471
59	218	3429
60	220	3390
61	221	3350
62	222	3314
63	224	3277
64	225	3240
65	226	3209
66	228	3176
67	229	3144
68	230	3112
69	231	3079
70	233	3048
71	234	3021
72	235	2992
73	236	2964
74	238	2936
75	239	2910
76	241	2892
77	242	2866
78	243	2840
79	244	2816
80	246	2792
81	247	2767
82	248	2745
83	249	2722
84	250	2699
85	251	2677
86	253	2655
87	254	2636
88	256	2620
89	257	2600
90	258	2581
91	259	2563
92	260	2545
93	261	2522
94	262	2505
95	264	2487
96	265	2469
97	266	2453
98	267	2435
99	269	2423
100	270	2409
101	271	2394
102	273	2379
103	274	2363
104	275	2347
105	276	2332
106	277	2318
107	279	2304
108	280	2290
109	281	2276
110	282	2262
111	284	2254
112	285	2242
113	286	2229
114	287	2216
115	289	2203
116	290	2192
117	291	2180
118	292	2167
119	293	2154
120	294	2141
121	295	2129
122	297	2118
123	298	2109
124	299	2099
125	301	2088
126	302	2077
127	303	2065
128	304	2054
129	305	2043
130	306	2033
131	307	2022
132	308	2013
133	310	2004
134	311	1994
135	312	1986
136	314	1980
137	315	1970
138	316	1962
139	317	1952
140	319	1944
141	320	1935
142	321	1926
143	322	1917
144	323	1908
145	324	1900
146	326	1892
147	327	1885
148	328	1877
149	329	1868
150	330	1860
151	332	1852
152	333	1843
153	334	1836
154	335	1827
155	336	1819
156	337	1811
157	338	1803
158	339	1795
159	340	1788
160	342	1782
161	343	1776
162	344	1769
163	346	1764
164	347	1757
165	348	1751
166	349	1745
167	351	1738
168	352	1732
169	354	1728
170	354	1719
171	356	1714
172	357	1709
173	358	1703
174	360	1697
175	361	1691
176	362	1685
177	363	1679
178	364	1673
179	365	1667
180	367	1661
181	368	1655
182	369	1649
183	370	1645
184	372	1641
185	373	1636
186	374	1630
187	376	1624
188	377	1618
189	378	1612
190	379	1607
191	380	1601
192	381	1595
193	382	1590
194	383	1584
195	385	1581
196	386	1577
197	388	1572
198	389	1567
199	390	1562
200	391	1557
201	393	1552
202	394	1547
203	395	1542
204	396	1537
205	397	1531
206	398	1526
207	400	1523
208	401	1519
209	402	1514
210	403	1509
211	404	1504
212	406	1500
213	407	1495
214	408	1491
215	409	1486
216	410	1482
217	411	1477
218	413	1472
219	414	1469
220	415	1465
221	416	1460
222	417	1455
223	418	1450
224	419	1446
225	421	1441
226	422	1437
227	423	1432
228	424	1428
229	425	1423
230	426	1419
231	427	1414
232	428	1410
233	430	1407
234	431	1404
235	432	1400
236	433	1396
237	435	1392
238	436	1389
239	437	1385
240	438	1381
241	439	1377
242	440	1373
243	442	1369
244	443	1367
245	445	1363
246	446	1360
247	447	1357
248	448	1353
249	449	1349
250	451	1345
251	452	1342
252	453	1338
253	454	1335
254	455	1331
255	456	1328
256	459	1327
257	460	1323
258	461	1319
259	462	1315
260	463	1311
261	464	1308
262	465	1304
263	466	1300
264	467	1296
265	468	1293
266	469	1289
267	470	1285
268	471	1282
269	473	1280
270	474	1277
271	475	1273
272	477	1270
273	478	1266
274	479	1263
275	480	1259
276	481	1256
277	482	1252
278	483	1249
279	484	1246
280	485	1243
281	486	1239
282	488	1237
283	489	1233
284	490	1230
285	491	1227
286	492	1224
287	494	1221
288	495	1218
289	496	1215
290	497	1212
291	498	1209
292	500	1206
293	501	1204
294	503	1202
295	504	1199
296	505	1196
297	506	1193
298	507	1190
299	508	1186
300	509	1183
301	510	1180
302	512	1178
303	513	1175
304	514	1172
305	515	1169
306	517	1167
307	518	1164
308	519	1161
309	520	1158
310	521	1155
311	522	1152
312	523	1149
313	524	1146
314	526	1144
315	527	1141
316	528	1138
317	529	1135
318	531	1133
319	532	1131
320	533	1128
321	534	1125
322	535	1122
323	537	1121
324	538	1118
325	539	1116
326	541	1113
327	542	1110
328	543	1108
329	544	1106
330	546	1104
331	547	1101
332	548	1098
333	549	1096
334	550	1093
335	551	1090
336	552	1087
337	554	1085
338	555	1082
339	556	1080
340	558	1078
341	559	1077
342	561	1074
343	562	1072
344	563	1070
345	565	1068
346	566	1065
347	567	1063
348	568	1060
349	569	1058
350	571	1055
351	572	1053
352	573	1051
353	575	1049
354	576	1047
355	577	1044
356	578	1042
357	579	1039
358	580	1037
359	581	1034
360	583	1032
361	584	1029
362	585	1027
363	586	1025
364	588	1023
365	589	1021
366	591	1019
367	592	1017
368	593	1014
369	594	1012
370	595	1010
371	597	1008
372	598	1005
373	599	1003
374	600	1001
375	601	998
376	603	997
377	604	995
378	606	993
379	607	991
380	608	988
381	609	986
382	611	984
383	612	982
384	613	980
385	615	978
386	616	976
387	618	974
388	619	972
389	620	970
390	622	968
391	623	966
392	624	964
393	626	963
394	627	961
395	628	958
396	629	956
397	631	954
398	632	953
399	634	951
400	635	949
401	637	947
402	638	945
403	639	943
404	641	941
405	642	939
406	643	937
407	644	935
408	646	934
409	647	932
410	649	930
411	650	928
412	651	926
413	652	924
414	654	922
415	655	920
416	656	918
417	658	916
418	659	913
419	661	913
420	662	911
421	663	909
422	664	906
423	665	904
424	667	902
425	668	900
426	669	898
427	670	896
428	671	894
429	673	892
430	674	890
431	676	888
432	677	887
433	678	885
434	679	883
435	680	880
436	682	878
437	683	876
438	684	874
439	685	872
440	686	870
441	687	868
442	689	867
443	691	865
444	692	863
445	693	861
446	694	859
447	696	857
448	697	855
449	698	854
450	700	852
451	701	850
452	702	848
453	704	847
454	705	845
455	707	843
456	708	841
457	709	839
458	710	837
459	711	835
460	712	833
461	714	831
462	715	830
463	717	828
464	718	827
465	720	825
466	721	823
467	722	821
468	724	819
469	725	817
470	726	816
471	727	813
472	728	812
473	729	810
474	731	808
475	733	807
476	734	805
477	736	803
478	737	802
479	739	800
480	740	798
481	741	797
482	742	795
483	744	793
484	745	791
485	747	790
486	748	788
487	750	786
488	751	785
489	752	783
490	754	781
491	755	780
492	756	778
493	758	776
494	759	774
495	760	772
496	762	771
497	763	770
498	765	768
499	766	766
500	767	764
501	768	762
502	769	760
503	770	758
504	772	756
505	773	754
506	774	753
507	776	751
508	777	750
509	779	748
510	780	746
511	781	744
512	782	743
513	784	741
514	785	739
515	786	737
516	787	735
517	788	734
518	790	732
519	791	731
520	793	729
521	794	727
522	795	725
523	796	723
524	797	721
525	799	720
526	800	718
527	801	716
528	802	714
529	804	713
530	805	711
531	807	710
532	808	708
533	809	706
534	810	704
535	812	703
536	813	701
537	814	699
538	815	697
539	817	696
540	818	694
541	820	693
542	821	691
543	822	689
544	823	687
545	824	685
546	825	684
547	827	682
548	828	680
549	829	678
550	830	676
551	831	674
552	832	673
553	834	671
554	835	670
555	837	668
556	838	666
557	839	664
558	840	663
559	841	661
560	842	659
561	843	657
562	845	655
563	846	654
564	847	652
565	849	651
566	850	649
567	851	647
568	852	645
569	854	644
570	855	642
571	856	640
572	857	639
573	858	637
574	860	635
575	861	633
576	862	632
577	863	630
578	865	629
579	866	627
580	867	625
581	869	624
582	870	622
583	871	620
584	872	618
585	873	617
586	874	615
587	876	613
588	877	612
589	879	610
590	880	609
591	881	607
592	882	605
593	883	604
594	885	602
595	886	600
596	887	599
597	888	597
598	890	595
599	891	594
600	892	592
601	894	591
602	895	589
603	896	587
604	898	586
605	899	584
606	900	582
607	901	581
608	902	579
609	903	577
610	905	576
611	906	574
612	908	573
613	909	572
614	911	570
615	912	568
616	913	567
617	915	565
618	916	564
619	917	562
620	918	560
621	919	559
622	921	557
623	923	556
624	924	554
625	925	552
626	926	551
627	927	549
628	929	548
629	930	546
630	931	544
631	932	543
632	933	541
633	935	539
634	936	538
635	938	536
636	939	535
637	940	533
638	941	531
639	942	530
640	943	528
641	944	526
642	945	525
643	946	523
644	947	521
645	949	520
646	950	518
647	952	517
648	953	515
649	954	513
650	955	512
651	956	510
652	958	509
653	959	507
654	960	505
655	961	504
656	962	502
657	964	501
658	965	499
659	967	498
660	968	496
661	969	494
662	970	493
663	971	491
664	972	490
665	974	488
666	975	486
667	976	485
668	977	483
669	978	482
670	980	480
671	981	479
672	982	477
673	984	475
674	985	474
675	986	472
676	987	471
677	988	469
678	989	467
679	991	466
680	992	464
681	993	463
682	995	461
683	996	460
684	997	458
685	998	457
686	1000	455
687	1001	454
688	1002	452
689	1003	450
690	1004	449
691	1006	447
692	1007	446
693	1009	444
694	1010	443
695	1011	441
696	1012	440
697	1013	438
698	1015	437
699	1016	435
700	1017	434
701	1019	432
702	1020	431
703	1022	429
704	1024	428
705	1025	427
706	1026	425
707	1028	424
708	1030	423
709	1032	421
710	1033	420
711	1035	418
712	1036	417
713	1038	416
714	1040	414
715	1041	413
716	1042	411
717	1044	410
718	1045	408
719	1046	406
720	1047	405
721	1048	403
722	1049	402
723	1051	400
724	1053	399
725	1054	397
726	1055	396
727	1057	394
728	1058	393
729	1059	391
730	1060	390
731	1062	388
732	1063	387
733	1065	385
734	1067	384
735	1068	383
736	1071	382
737	1072	380
738	1073	379
739	1075	378
740	1077	376
741	1078	375
742	1079	373
743	1081	372
744	1082	370
745	1084	369
746	1085	367
747	1086	366
748	1088	364
749	1090	363
750	1091	361
751	1092	360
752	1094	358
753	1096	357
754	1098	356
755	1099	354
756	1100	353
757	1101	351
758	1103	350
759	1105	348
760	1106	347
761	1108	346
762	1109	344
763	1111	343
764	1112	341
765	1114	340
766	1115	338
767	1116	337
768	1117	335
769	1118	334
770	1120	332
771	1122	331
772	1123	329
773	1125	328
774	1126	327
775	1128	325
776	1129	324
777	1130	322
778	1131	321
779	1132	319
780	1134	318
781	1135	316
782	1136	314
783	1137	313
784	1139	311
785	1140	310
786	1141	309
787	1143	307
788	1144	306
789	1145	304
790	1147	303
791	1148	301
792	1149	300
793	1151	298
794	1152	297
795	1153	295
796	1155	294
797	1156	292
798	1158	291
799	1159	289
800	1160	288
801	1161	286
802	1163	285
803	1164	283
804	1165	282
805	1167	280
806	1168	279
807	1170	278
808	1171	276
809	1172	275
810	1174	273
811	1175	272
812	1176	270
813	1177	269
814	1179	267
815	1180	266
816	1181	264
817	1183	263
818	1185	261
819	1186	260
820	1188	259
821	1189	257
822	1190	256
823	1192	254
824	1193	253
825	1194	251
826	1196	250
827	1197	248
828	1199	247
829	1200	245
830	1201	244
831	1203	242
832	1204	241
833	1205	240
834	1206	238
835	1208	237
836	1209	235
837	1211	234
838	1213	232
839	1214	231
840	1215	229
841	1216	228
842	1217	226
843	1218	225
844	1220	223
845	1221	222
846	1222	220
847	1223	219
848	1224	217
849	1225	216
850	1227	214
851	1229	213
852	1230	212
853	1231	210
854	1232	209
855	1233	207
856	1234	206
857	1235	204
858	1237	203
859	1238	201
860	1239	200
861	1240	198
862	1242	197
863	1243	195
864	1244	194
865	1246	192
866	1247	191
867	1249	189
868	1250	188
869	1251	187
870	1252	185
871	1254	184
872	1255	182
873	1256	181
874	1258	179
875	1259	178
876	1260	176
877	1261	175
878	1263	173
879	1264	172
880	1265	170
881	1266	169
882	1267	168
883	1269	166
884	1271	165
885	1272	163
886	1273	162
887	1274	160
888	1276	159
889	1277	157
890	1278	156
891	1279	154
892	1280	153
893	1281	151
894	1283	150
895	1284	149
896	1286	147
897	1287	146
898	1288	144
899	1289	143
900	1290	141
901	1292	140
902	1293	138
903	1294	137
904	1295	136
905	1297	134
906	1298	133
907	1300	131
908	1301	130
909	1302	128
910	1304	127
911	1305	125
912	1306	124
913	1307	123
914	1308	121
915	1309	120
916	1310	118
917	1311	117
918	1312	115
919	1314	114
920	1315	112
921	1316	111
922	1317	109
923	1318	108
924	1320	107
925	1321	105
926	1322	104
927	1323	102
928	1324	101
929	1325	99
930	1326	98
931	1327	96
932	1329	95
933	1330	94
934	1331	92
935	1332	91
936	1334	89
937	1335	88
938	1336	86
939	1337	85
940	1338	83
941	1339	82
942	1340	81
943	1341	79
944	1343	78
945	1344	76
946	1345	75
947	1346	73
948	1347	72
949	1349	71
950	1350	69
951	1351	68
952	1352	66
953	1353	65
954	1354	63
955	1355	62
956	1356	60
957	1358	59
958	1359	58
959	1360	56
960	1361	55
961	1362	53
962	1364	52
963	1365	50
964	1366	49
965	1367	48
966	1368	46
967	1369	45
968	1370	43
969	1372	42
970	1374	41
971	1375	39
972	1376	38
973	1377	36
974	1379	35
975	1380	33
976	1381	32
977	1382	31
978	1383	29
979	1384	28
980	1385	26
981	1387	25
982	1389	24
983	1390	22
984	1391	21
985	1392	19
986	1393	18
987	1395	16
988	1396	15
989	1397	14
990	1398	12
991	1400	11
992	1401	9
993	1403	8
994	1404	7
995	1405	5
996	1407	4
997	1408	2
998	1409	1
999	1410	0
